DATE,Retail_Sales_Real, Retail_Sales_Lag1, Retail_Sales_Lag2, Retail_Sales_Lag3, Retail_Sales_Lag6, Retail_Sales_Lag12,Retail_Sales_Rolling_Mean,Retail_Sales_Rolling_Std,month_sin,month_cos,is_holiday,is_promo
2000-01-01,237541,,,,,,,,0.49999999999999994,0.8660254037844387,1,0
2000-02-01,241541,237541.0,,,,,,,0.8660254037844386,0.5000000000000001,0,0
2000-03-01,244533,241541.0,237541.0,,,,241205.0,3508.088938439275,1.0,6.123233995736766e-17,0,0
2000-04-01,239552,244533.0,241541.0,237541.0,,,241875.33333333334,2507.274283626215,0.8660254037844387,-0.4999999999999998,0,0
2000-05-01,241546,239552.0,244533.0,241541.0,,,241877.0,2506.9425601716557,0.49999999999999994,-0.8660254037844387,0,0
2000-06-01,243226,241546.0,239552.0,244533.0,,,241441.33333333334,1839.234985893139,1.2246467991473532e-16,-1.0,0,0
2000-07-01,240979,243226.0,241546.0,239552.0,237541.0,,241917.0,1168.5388311904694,-0.4999999999999997,-0.8660254037844388,0,0
2000-08-01,242318,240979.0,243226.0,241546.0,241541.0,,242174.33333333334,1130.368229088787,-0.8660254037844385,-0.5000000000000004,0,0
2000-09-01,245520,242318.0,240979.0,243226.0,244533.0,,242939.0,2333.3240237909513,-1.0,-1.8369701987210297e-16,0,0
2000-10-01,245399,245520.0,242318.0,240979.0,239552.0,,244412.33333333334,1814.7546206948534,-0.8660254037844386,0.5000000000000001,0,0
2000-11-01,243846,245399.0,245520.0,242318.0,241546.0,,244921.66666666666,933.5171842731651,-0.5000000000000004,0.8660254037844384,0,0
2000-12-01,243844,243846.0,245399.0,245520.0,243226.0,,244363.0,897.2028756083881,-2.4492935982947064e-16,1.0,0,0
2001-01-01,247339,243844.0,243846.0,245399.0,240979.0,237541.0,245009.66666666666,2017.2620884092655,0.49999999999999994,0.8660254037844387,1,0
2001-02-01,247289,247339.0,243844.0,243846.0,242318.0,241541.0,246157.33333333334,2003.5614124187236,0.8660254037844386,0.5000000000000001,0,0
2001-03-01,244514,247289.0,247339.0,243844.0,245520.0,244533.0,246380.66666666666,1616.7740514163631,1.0,6.123233995736766e-17,0,0
2001-04-01,249113,244514.0,247289.0,247339.0,245399.0,239552.0,246972.0,2315.829656948011,0.8660254037844387,-0.4999999999999998,0,0
2001-05-01,250250,249113.0,244514.0,247289.0,243846.0,241546.0,247959.0,3037.1386204781534,0.49999999999999994,-0.8660254037844387,0,0
2001-06-01,248836,250250.0,249113.0,244514.0,243844.0,243226.0,249399.66666666666,749.321248419708,1.2246467991473532e-16,-1.0,0,0
2001-07-01,247336,248836.0,250250.0,249113.0,247339.0,240979.0,248807.33333333334,1457.2114923144418,-0.4999999999999997,-0.8660254037844388,0,0
2001-08-01,249590,247336.0,248836.0,250250.0,247289.0,242318.0,248587.33333333334,1147.390662910103,-0.8660254037844385,-0.5000000000000004,0,0
2001-09-01,243130,249590.0,247336.0,248836.0,244514.0,245520.0,246685.33333333334,3278.7841242346703,-1.0,-1.8369701987210297e-16,0,0
2001-10-01,262862,243130.0,249590.0,247336.0,249113.0,245399.0,251860.66666666666,10060.064678387182,-0.8660254037844386,0.5000000000000001,0,0
2001-11-01,254084,262862.0,243130.0,249590.0,250250.0,243846.0,253358.66666666666,9885.97680218467,-0.5000000000000004,0.8660254037844384,0,0
2001-12-01,249879,254084.0,262862.0,243130.0,248836.0,243844.0,255608.33333333334,6624.369127194947,-2.4492935982947064e-16,1.0,0,0
2002-01-01,250603,249879.0,254084.0,262862.0,247336.0,247339.0,251522.0,2248.094081661234,0.49999999999999994,0.8660254037844387,1,0
2002-02-01,252279,250603.0,249879.0,254084.0,249590.0,247289.0,250920.33333333334,1231.066746092019,0.8660254037844386,0.5000000000000001,0,0
2002-03-01,251542,252279.0,250603.0,249879.0,243130.0,244514.0,251474.66666666666,840.0263884745434,1.0,6.123233995736766e-17,0,0
2002-04-01,254543,251542.0,252279.0,250603.0,262862.0,249113.0,252788.0,1563.9088848140282,0.8660254037844387,-0.4999999999999998,0,0
2002-05-01,252390,254543.0,251542.0,252279.0,254084.0,250250.0,252825.0,1547.0678718143745,0.49999999999999994,-0.8660254037844387,0,0
2002-06-01,253652,252390.0,254543.0,251542.0,249879.0,248836.0,253528.33333333334,1081.8143710145423,1.2246467991473532e-16,-1.0,0,0
2002-07-01,257339,253652.0,252390.0,254543.0,250603.0,247336.0,254460.33333333334,2571.6147326793675,-0.4999999999999997,-0.8660254037844388,0,0
2002-08-01,259050,257339.0,253652.0,252390.0,252279.0,249590.0,256680.33333333334,2758.6196427440923,-0.8660254037844385,-0.5000000000000004,0,0
2002-09-01,254081,259050.0,257339.0,253652.0,251542.0,243130.0,256823.33333333334,2524.3166071896653,-1.0,-1.8369701987210297e-16,0,0
2002-10-01,256131,254081.0,259050.0,257339.0,254543.0,262862.0,256420.66666666666,2497.1324220660676,-0.8660254037844386,0.5000000000000001,0,0
2002-11-01,256350,256131.0,254081.0,259050.0,252390.0,254084.0,255520.66666666666,1251.5871257461588,-0.5000000000000004,0.8660254037844384,0,1
2002-12-01,259206,256350.0,256131.0,254081.0,253652.0,249879.0,257229.0,1715.6302049101982,-2.4492935982947064e-16,1.0,0,0
2003-01-01,261394,259206.0,256350.0,256131.0,257339.0,250603.0,258983.33333333334,2529.36144774398,0.49999999999999994,0.8660254037844387,1,0
2003-02-01,257531,261394.0,259206.0,256350.0,259050.0,252279.0,259377.0,1937.1688104035154,0.8660254037844386,0.5000000000000001,0,0
2003-03-01,260566,257531.0,261394.0,259206.0,254081.0,251542.0,259830.33333333334,2033.8624175035782,1.0,6.123233995736766e-17,0,0
2003-04-01,261375,260566.0,257531.0,261394.0,256131.0,254543.0,259824.0,2026.5751898215317,0.8660254037844387,-0.4999999999999998,0,0
2003-05-01,261392,261375.0,260566.0,257531.0,256350.0,252390.0,261111.0,472.0603774944233,0.49999999999999994,-0.8660254037844387,0,0
2003-06-01,265331,261392.0,261375.0,260566.0,259206.0,253652.0,262699.3333333333,2279.1060381942625,1.2246467991473532e-16,-1.0,0,0
2003-07-01,267683,265331.0,261392.0,261375.0,261394.0,257339.0,264802.0,3178.6869930838166,-0.4999999999999997,-0.8660254037844388,0,0
2003-08-01,270612,267683.0,265331.0,261392.0,257531.0,259050.0,267875.3333333333,2645.7483503412805,-0.8660254037844385,-0.5000000000000004,0,0
2003-09-01,270212,270612.0,267683.0,265331.0,260566.0,254081.0,269502.3333333333,1588.231826067484,-1.0,-1.8369701987210297e-16,1,0
